source_file,matrix_title,institute,institute_code,program,quota,open,open_pwd,general_ews,general_ews_pwd,obc,obc_pwd,sc,sc_pwd,st,st_pwd,total_seats
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Autonomous State Medical College, Ghazipur",200556,MBBS,All India,6,0,2,0,4,0,1,1,0,1,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Autonomous State Medical College, Kanpur Dehat, Uttar Pradesh",902816,MBBS,All India,3,0,0,0,1,0,2,0,1,0,7
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Autonomous State Medical College, Lalitpur, U.P",902824,MBBS,All India,4,0,0,0,2,0,1,0,0,0,7
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Autonomous State Medical College, Pilibhit, Uttar Pradesh",902813,MBBS,All India,6,0,1,1,4,0,2,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Autonomous State Medical College, Pratapgarh",200554,MBBS,All India,6,1,1,0,4,0,2,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Autonomous State Medical College, Siddharthnagar",200553,MBBS,All India,7,0,1,0,4,0,2,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Autonomous State Medical College, Sultanpur, Uttar Pradesh",902823,MBBS,All India,5,1,2,0,4,0,1,1,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"B.J. Government Medical College, Pune",200205,MBBS,All India,15,1,4,0,9,1,5,0,3,0,38
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"B.J. MEDICAL COLLEGE, AHMEDABAD",200137,MBBS,All India,15,0,4,0,9,1,5,0,3,0,37
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"B.R.D. MEDICAL COLLEGE, GORAKHPUR",200286,MBBS,All India,10,0,1,0,6,0,3,0,1,1,22
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),Bangalore Medical College and Research Institute,200161,MBBS,All India,13,1,4,0,9,1,6,0,3,0,37
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"BANKURA SAMMILANI MED COLL,BANKURA",200307,MBBS,All India,10,1,3,0,7,1,5,0,3,0,30
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Barasat Government Medical College & Hospital, West Bengal",200613,MBBS,All India,5,1,2,0,4,0,2,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"BELGAUM INST. OF MEDICAL SCI., BELGAUM",200162,MBBS,All India,10,0,2,0,6,0,3,0,2,0,23
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Bhima Bhoi Medical College and Hospital , Balangir",200428,MBBS,All India,6,0,2,0,4,0,2,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"BIDAR INSTITUTE OF MEDICAL SCI., BIDAR",200163,MBBS,All India,7,1,2,0,6,0,4,0,2,0,22
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"BPS Govt. Med. College, Sonepat",200145,MBBS,All India,8,1,1,0,4,1,2,0,1,0,18
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"BUNDELKHAND MEDICAL COLLEGE, SAGAR",200198,MBBS,All India,9,0,2,0,4,1,2,0,1,0,19
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"BURDWAN MEDICAL COLLEGE,BURDWAN",200309,MBBS,All India,12,1,2,1,8,0,3,1,1,1,30
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"C. Institute of Medical Sciences, Chamarajanagar",200164,MBBS,All India,10,0,2,0,6,0,3,0,1,0,22
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"CALCUTTA NATIONAL MED COLL,KOLKATA",200310,MBBS,All India,14,0,4,0,9,1,6,0,3,0,37
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Chandulal Chandrakar Memorial Government Medical College, Durg",200612,MBBS,All India,10,0,3,1,7,1,5,0,3,0,30
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"CHENGALPATTU MEDICAL COLL,CHENGALPATTU",200258,MBBS,All India,5,1,2,0,4,0,2,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, BILASP",200120,MBBS,All India,10,0,1,1,6,0,2,1,0,1,22
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),Chhindwara Institute of Medical Sciences,200468,MBBS,All India,5,0,2,0,5,0,2,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES, KARNATAKA",200585,MBBS,All India,5,1,2,0,3,1,2,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),Chikkamagaluru Institute of Medical Sciences,200608,MBBS,All India,7,1,2,0,6,0,3,1,2,0,22
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),Chitradurga Medical College and Research Institute,200682,MBBS,All India,10,0,3,0,6,0,3,0,1,0,23
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"COIMBATORE MEDICAL COLLEGE,COIMBATORE",200259,MBBS,All India,11,0,3,0,8,0,4,1,2,1,30
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),College Government Medical College Alwar,200670,MBBS,All India,8,0,1,0,3,0,2,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"COLLEGE OF MEDICINE and JNM HOSPITAL, KALYANI",200311,MBBS,All India,7,1,2,0,5,0,3,0,1,0,19
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Darbhanga Medical College, Laheriasarai",200110,MBBS,All India,5,1,2,0,5,0,3,0,2,0,18
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),Deben Mahata Government Medical College & Hospital,200538,MBBS,All India,6,0,1,0,3,1,3,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Dhubri Medical College, Assam",200642,MBBS,All India,5,1,1,0,3,1,3,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),Diamond Harbour Govt Medical College,200474,MBBS,All India,5,0,2,0,4,0,3,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Diphu Medical College & Hospital, Assam",200578,MBBS,All India,6,0,2,0,4,0,2,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Dr Ram Manohar Lohia Inst. of Med. Sce., Lucknow",200287,MBBS,All India,11,1,4,0,7,1,4,0,2,0,30
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),Dr. B.R. Ambedkar State Institute of Medical Sciences,200572,MBBS,All India,5,0,2,0,5,0,2,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Dr. B.S.A. Medical College, Delhi",200127,MBBS,All India,9,0,1,0,5,0,3,0,1,0,19
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"DR. VAISHAMPAYAM MEMORIAL M.C.,SHOLAPUR",200207,MBBS,All India,13,0,3,0,7,1,4,0,2,0,30
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Dr. YS Parmar Govt. Medical College, Nahan",200151,MBBS,All India,6,0,2,0,5,0,3,0,2,0,18
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Dr.Radhakrishnan Government Medical College, Hamirpur",200461,MBBS,All India,9,0,2,0,4,0,2,0,1,0,18
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"DR.RAJENDRA PRASAD MC, TANDA",200152,MBBS,All India,7,1,1,0,5,0,3,0,1,0,18
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"DR.S.C.GOVT MEDICAL COLLEGE,,NANDED",200208,MBBS,All India,8,1,2,0,6,0,4,0,2,0,23
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"DR.S.N. MEDICAL COLLEGE, JODHPUR",200249,MBBS,All India,15,1,4,0,9,1,6,0,2,0,38
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Employees State Insurance Corporation Medical College, Alwar",200575,MBBS,All India,4,1,2,0,4,0,2,0,2,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"ESI-MC&PGIMS&R, Banglore",200165,MBBS,All India,11,1,3,0,7,1,3,1,1,1,29
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"ESIC Medical College & Hospital, Bihta",200573,MBBS,All India,7,0,1,0,4,0,2,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"ESIC Medical College AND PGIMSR, Chennai",200415,MBBS,All India,10,0,2,0,6,0,3,0,1,0,22
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"ESIC Medical College, Faridabad",200409,MBBS,All India,9,0,1,1,5,0,2,1,0,1,20
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"ESIC Medical College, Gulbarga",200413,MBBS,All India,8,1,2,0,6,0,3,0,2,0,22
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"ESIC Medical College, Hyderbad",200418,MBBS,All India,7,0,2,0,5,0,3,0,2,0,19
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"ESIC PGIMSR, Joka, Kolkata, WB",200313,MBBS,All India,8,0,2,0,6,0,2,0,1,0,19
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Fakhruddin Ali Ahmed Medical College, Barpeta",200103,MBBS,All India,7,0,2,0,4,1,3,0,2,0,19
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"G.S.V.M. MEDICAL COLLEGE, KANPUR",200289,MBBS,All India,14,1,3,0,10,0,6,0,3,0,37
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),Gadag Institute of Medical Sciences,200168,MBBS,All India,9,0,2,0,6,0,4,0,2,0,23
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"GAJRA RAJA MEDICAL COLLEGE, GWALIOR",200199,MBBS,All India,10,1,3,0,8,0,5,0,3,0,30
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),Gandhi Medical College Musheerabad Secunderabad,200445,MBBS,All India,12,1,3,0,7,1,4,0,2,0,30
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"GANDHI MEDICAL COLLEGE, BHOPAL",200200,MBBS,All India,15,1,4,0,10,0,5,0,2,0,37
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),GMC DAUSA RAJASTHAN,200663,MBBS,All India,6,0,2,0,4,0,2,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),GMC Jangaon,200660,MBBS,All India,5,1,2,0,4,0,2,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),GMC Kamareddy,200651,MBBS,All India,6,0,2,0,4,0,1,1,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),GMC KARAULI,200666,MBBS,All India,2,1,1,1,5,0,3,0,2,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"GMC, Azamgarh, UP",200290,MBBS,All India,6,0,2,0,4,0,2,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"Gmc, Bahraich",200492,MBBS,All India,7,0,1,0,4,0,2,0,1,0,15
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"GMC, Manjeri, Kerala",200183,MBBS,All India,4,1,1,1,4,0,3,0,2,0,16
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"GMC, Rajamahendravaram",200662,MBBS,All India,8,0,2,1,5,1,3,0,2,0,22
001_final_seat_matrix_for_all_india_quota_except_central_university_round_1_ug_2024_mbbs.pdf,FINAL SEAT MATRIX FOR ALL INDIA QUOTA EXCEPT CENTRAL UNIVERSITY ROUND 1 UG 2024 (MBBS),"GMC, Shahjhanpur",200491,MBBS,All India,5,1,2,0,4,0,2,0,1,0,15
