priority,provider,dataset,years,access_type,known_cost,status,date_requested,date_received,local_path,license_checked,notes
B4,AAMC,Custom applicant/matriculant data report for U.S. comparator,recent 5-10 entering classes,Request; custom reports may have fee,Unknown; quote before acceptance,not_requested,,,,no,
B5,NCES / Standard Application Process,NPSAS restricted-use microdata,2019-20 and latest available,Restricted-use application,No data fee stated; institutional security/compliance costs,not_requested,,,,no,
B6,IPUMS USA,ACS microdata extracts,2010-latest; prioritize 2018-2024,Free registration,₹0 / $0,not_requested,,,,no,
B7,IPUMS CPS,CPS ASEC and monthly microdata,2010-latest,Free registration,₹0 / $0,not_requested,,,,no,
B8,NLS Investigator,NLSY97 and optionally NLSY79,all public rounds,Free account to save/download extracts,₹0 / $0,not_requested,,,,no,
R1,National Testing Agency via RTI,NEET application/result database schema and anonymized socioeconomic-score tables,2019-2026,RTI request,₹10 central application fee; possible copying/media charges,not_requested,,,,no,
R2,MCC / DGHS via RTI,Machine-readable counselling and joined-admission records,2019-2026,RTI request,Usually ₹10 central RTI fee,not_requested,,,,no,
R3,National Medical Commission via RTI,"Historical medical-college capacity, ownership, fees, completion and attrition",2010-2026,RTI request,Usually ₹10 central RTI fee,not_requested,,,,no,
R4,State counselling/medical education authorities via state RTI portals,"State applicant, merit, allotment, fee and joining records",2019-2026,State RTI request,Fee/process varies by state,not_requested,,,,no,
O1,ASER Centre,ASER household/school unit records or custom tabulations,recent annual rural rounds; 2018 onward,Direct research request; access policy unclear,Unknown; likely request/partnership,not_requested,,,,no,
O2,Major coaching providers and scholarship programs,Anonymized NEET cohort/outcome extracts,2019-2026,Direct data partnership,Unknown; negotiate,not_requested,,,,no,
P1,OSF / Biswas and Maji,Anonymized NEET-JEE aspirant survey and codebook,2025-26,Public view-only project,₹0,downloaded,,2026-07-25,data/external/osf/tnh4x/raw/,no,Downloaded; mental-health focus; no coaching-fee/hours/score/seat fields observed in CSV header
P2,Alagappa University authors,NEET preparation psychosocial survey microdata,2026,Author request,₹0 expected; terms may apply,not_requested,,,,no,N=400; coaching intensity and repeat attempts
P3,Sri Manakula Vinayagar Medical College authors,NEET score and first-year MBBS analytic data,2017-18 cohort,Author/institution request,₹0 expected; ethics terms may apply,not_requested,,,,no,N=150 admitted students
P4,Katuri Medical College authors,NEET-UG 2020 anxiety survey microdata,2020,Author request,₹0 expected; ethics terms may apply,not_requested,,,,no,N=200 aspirants
P5,Pondicherry University / Mahe Centre,Kerala backward-class social-origin and programme-choice survey,2015 study,Author request,₹0 expected; terms may apply,not_requested,,,,no,N=523; pre-NEET structural access evidence
P6,OpenICPSR,Bagde-Epple-Taylor Indian engineering admissions replication package,2016 publication / 2019 deposit,Public download,₹0,not_downloaded,,,,no,Methodological analogue for caste/gender/reservation admissions
P7,Kerala CEE,KEAM medical rank-category-allotment-last-rank-vacancy archive,2019-2026,Public official,₹0,not_downloaded,,,,no,Best first state admissions adapter
P8,NIRF / medical institutions,Medical-college institution submissions,2018-2026,Public aggregate,₹0,not_downloaded,,,,no,Economic/social challenge and outcomes validation
P9,NMC / medical colleges,Final admitted MBBS student submissions,available years,Public but privacy-sensitive,₹0,not_downloaded,,,,no,Aggregate-only ingestion; discard direct identifiers
P10,Ministry of Education RTI archive,Historical NEET RTI replies and attachments,2019 onward,Public archive / recovery request,₹0,not_recovered,,,,no,Use exact request IDs in public_rti_archive_leads.csv
P11,RankerCentral,Licensed normalized state counselling export,2021-2026,Vendor access / possible paid plan,Unknown; request quote/license,not_requested,,,,no,Require source-PDF provenance and dictionary
C1,Dakshana Foundation,JDST all-applicant deidentified extract around selection cutoffs,2016-2026,Direct research request / partnership,₹0 expected; NDA/ethics may apply,not_requested,,,,no,Highest-value coaching causal lead; public AR + JDST rules already downloaded
C2,Bihar School Examination Board,"Super 50 all-applicant entrance scores, selection, coaching assignment, NEET outcomes",recent cohorts through 2027,Institutional partnership / RTI,Unknown; state process,not_requested,,,,no,coaching.biharboardonline.com returned 404 on 2026-07-25; news mirrors archived
C3,SATHEE / IIT Kanpur,"Learning-platform event logs, school rollout dates, linked NEET results where consented",deployment years,PI / project-team request,₹0 expected; ethics/consent required,not_requested,,,,no,Best continuous preparation-dose source; contact Amey Karkare / SATHEE team
C4,CSRL Super 30,"Applicant test/interview scores, selection, attendance, NEET/admission outcomes",recent cohorts,Direct research request,Unknown,not_requested,,,,no,Multi-centre scored-selection design
C5,Careers360,2022 NEET preparation survey raw responses and branching logic,2022,Vendor/research request,Unknown,not_requested,,,,no,N~717; severe selection: many non-admits skipped preparation questions
C6,Tamil Nadu Selection Committee / DME,Deidentified counselling applicant-allotment spine with attempts/income/school fields,2019-2026,Institutional outreach / state RTI,State RTI fee varies,partial_public,,,data/external/tamil_nadu/counselling/raw/,no,Public rank/allotment PDFs downloaded; richer application fields still gated
C7,CBSE,Dummy-school enforcement registry and any research extract of attendance/dummy enrolment,2024-2025 inspections,Public PDFs + optional research request,₹0 for public lists,public_downloaded,,2026-07-25,data/external/cbse/raw/; data/processed/cbse_dummy_school_registry.csv,yes,School-level proxy built; student-level exposure still missing
C8,ALLEN / Aakash / Physics Wallah,Anonymized preparation dose histories with NEET outcomes under NDA,2019-2026,Commercial data partnership,Unknown; likely restricted,not_requested,,,,no,"High volume, high selection; last resort after program-cutoff datasets"
P12,Dakshana Foundation,Annual reports and JDST selection notifications (public),2007-2024 reports; JDST 2024 notice,Public download,₹0,downloaded,,2026-07-25,data/external/dakshana/raw/,yes,Aggregate scholar outcomes only; not applicant-level
P13,Tamil Nadu Selection Committee,Public MBBS/BDS rank and allotment PDF archives,2023-24 examples + 2025-26 home crawl,Public official,₹0,downloaded,,2026-07-25,data/external/tamil_nadu/counselling/raw/,yes,Contains direct identifiers; strip before processed use
